t,ema
0.500006,27.51726
1.000013,27.8529
1.500019,28.34643
2.000026,28.26881
2.500032,28.24059
3.000039,28.37133
3.500045,28.74501
4.000051,28.81615
4.500058,28.37463
5.000064,27.89187
5.500071,27.70622
6.000077,27.60576
6.500084,28.31225
7.00009,28.78817
7.500096,28.64546
8.000103,28.08447
8.50011,27.9398
9.000116,28.14745
9.500122,28.42265
10.00013,28.36063
10.50014,28.1228
11.00014,28.41519
11.50015,28.73003
12.00015,28.5133
12.50016,27.92728
13.00017,27.80004
13.50017,27.83193
14.00018,27.96099
14.50019,28.65461
15.00019,29.00088
15.5002,28.76509
16.00021,28.02629
16.50021,27.82146
17.00022,27.90027
17.50023,28.02748
18.00023,28.27448
18.50024,28.50234
19.00024,28.77001
19.50025,28.73392
20.00026,28.34956
20.50026,27.99937
21.00027,27.75603
21.50028,27.97715
22.00028,28.2581
22.50029,28.24358
23.0003,28.2051
23.5003,28.61453
24.00031,28.7778
24.50031,28.31944
25.00032,27.97231
25.50033,28.515
26.00034,28.87181
26.50034,28.36217
27.00035,27.5249
27.50035,27.23397
28.00036,27.49395
28.50037,28.33059
29.00037,29.31632
29.50038,29.66659
30.00039,29.22316
30.50039,28.44014
31.0004,27.60815
31.50041,27.15219
32.00041,27.31185
32.50042,27.69619
33.00042,28.203
33.50043,28.87922
34.00044,29.00786
34.50044,29.07987
35.00045,29.15139
35.50046,28.53964
36.00047,27.58361
36.50047,27.40725
37.00048,27.51698
37.50048,28.04249
38.00049,28.62625
38.5005,28.85076
39.0005,28.85641
39.50051,28.33234
40.00051,28.0372
40.50052,28.13606
41.00053,27.90867
41.50053,28.23806
42.00054,28.53134
42.50055,28.68192
43.00055,28.45915
43.50056,28.72659
44.00056,28.5904
44.50057,27.89008
45.00058,27.50689
45.50059,27.55403
46.00059,27.96693
46.5006,28.48154
47.00061,28.85824
47.50061,29.02517
48.00062,28.98666
48.50063,28.74138
49.00063,28.44373
49.50064,28.07291
50.00064,27.51637
50.50065,27.36844
51.00066,27.53902
51.50066,27.8971
52.00067,28.61047
52.50068,29.19852
53.00068,29.23173
53.50069,29.04956
54.00069,28.58409
54.5007,28.37526
55.00071,28.34167
55.50071,27.82292
56.00072,27.43857
56.50073,26.98355
57.00073,27.33147
57.50074,28.50577
58.00075,29.24301
58.50075,29.67291
59.00076,29.65085
59.50077,28.87107
60.00077,27.84575
60.50078,27.3544
61.00079,27.69328
61.50079,28.08156
62.0008,28.17072
62.5008,28.12795
63.00081,28.09864
63.50082,27.95398
64.00082,28.60208
64.50083,29.05576
65.00084,29.56945
65.50085,29.24022
66.00085,28.14068
66.50085,27.40655
67.00086,27.21209
67.50087,27.64494
68.00088,28.1691
68.50089,28.90844
69.00089,28.73498
69.50089,28.41172
70.0009,28.72502
70.50091,28.80744
71.00092,28.49381
71.50092,28.10901
72.00093,27.70506
72.50093,27.85891
73.00094,28.37972
73.50095,28.46647
74.00095,27.96976
74.50096,28.64297
75.00097,29.2423
75.50097,28.93411
76.00098,28.03865
76.50098,27.63309
77.00099,27.99557
77.501,28.16421
78.00101,28.42226
78.50101,28.50609
79.00101,28.2793
79.50102,28.33396
80.00103,28.66125
80.50104,28.67002
81.00105,28.65689
81.50105,28.33316
82.00105,27.98606
82.50106,28.00979
83.00107,28.09158
83.50108,28.53595
84.00108,28.53354
84.50109,28.35962
85.00109,28.09666
85.5011,28.37875
86.00111,28.5203
86.50111,28.33399
87.00112,28.44512
87.50113,28.59333
88.00113,28.34608
88.50114,28.18898
89.00114,28.44756
89.50115,28.66923
90.00116,28.1645
90.50117,28.15865
91.00117,28.41256
91.50117,28.41211
92.00118,28.02776
92.50119,28.04492
93.0012,28.20488
93.50121,28.40396
94.00121,28.82191
94.50121,28.9964
95.00122,28.84376
95.50123,28.10933
96.00124,27.7366
96.50124,28.32065
97.00125,28.68386
97.50126,28.47084
98.00126,28.23161
98.50127,28.04758
99.00127,27.89773
99.50128,28.099
100.0013,28.37184
100.5013,28.39137
101.0013,28.90026
101.5013,29.3007
102.0013,29.0976
102.5013,28.42599
103.0013,27.85098
103.5013,27.57763
104.0013,27.642
104.5013,27.94513
105.0014,28.65719
105.5014,29.13058
106.0014,28.66705
106.5014,28.2453
107.0014,28.21951
107.5014,28.5233
108.0014,28.58135
108.5014,28.43985
109.0014,28.42701
109.5014,28.57058
110.0014,28.16139
110.5014,28.01038
111.0014,28.04454
111.5014,28.1207
112.0014,28.25623
112.5014,28.49464
113.0015,28.94693
113.5015,29.23446
114.0015,28.98436
114.5015,28.13714
115.0015,27.77197
115.5015,27.59222
116.0015,27.77348
116.5015,28.57437
117.0015,28.78388
117.5015,28.77875
118.0015,28.84436
118.5015,28.63761
119.0015,28.20427
119.5015,28.02998
120.0015,28.20991
120.5015,28.4977
121.0016,28.44534
121.5016,28.28486
122.0016,28.52664
122.5016,28.61136
123.0016,28.26113
123.5016,28.06382
124.0016,28.24568
124.5016,28.6328
125.0016,28.82693
125.5016,28.55583
126.0016,28.3423
126.5016,27.98291
127.0016,28.20506
127.5016,28.48481
128.0016,28.75155
128.5016,28.49507
129.0017,28.14779
129.5017,28.21881
130.0017,28.61089
130.5017,29.10043
131.0017,28.49835
131.5017,27.90319
132.0017,27.86211
132.5017,28.32854
133.0017,28.53797
133.5017,28.34772
134.0017,28.57085
134.5017,28.8424
135.0017,28.77822
135.5017,28.45878
136.0018,28.32018
136.5018,28.13487
137.0018,27.92445
137.5018,28.24787
138.0018,28.57052
138.5018,28.74022
139.0018,28.75188
139.5018,28.35182
140.0018,28.03161
140.5018,28.21988
141.0018,28.58532
141.5018,28.72676
142.0018,28.8049
142.5018,28.81208
143.0018,28.16664
143.5018,27.70055
144.0019,27.95747
144.5019,28.09763
145.0019,28.45847
145.5019,28.97734
146.0019,28.95214
146.5019,29.09884
147.0019,28.72682
147.5019,28.30607
148.0019,28.11909
148.5019,27.76112
149.0019,27.58052
149.5019,27.69616
150.0019,28.42598
150.5019,29.33513
151.0019,29.84776
151.502,29.43841
152.002,28.48938
152.502,27.30692
153.002,27.12947
153.502,27.79629
154.002,28.94551
154.502,29.25535
155.002,29.03173
155.502,28.60591
156.002,28.05948
156.502,27.87043
157.002,28.20948
157.502,28.80499
158.002,28.76313
